iter	Passed	Remaining
0	13	1348
1	27	1350
2	43	1408
3	63	1523
4	77	1473
5	89	1400
6	99	1318
7	107	1232
8	114	1161
9	121	1096
10	128	1039
11	134	989
12	141	947
13	147	908
14	155	879
15	161	849
16	167	818
17	173	788
18	179	764
19	185	741
20	191	720
21	197	701
22	203	680
23	209	661
24	215	645
25	220	628
26	227	614
27	233	599
28	239	585
29	245	573
30	252	561
31	261	555
32	267	543
33	273	530
34	279	518
35	284	506
36	290	494
37	296	483
38	302	472
39	308	462
40	313	451
41	319	441
42	324	430
43	330	421
44	336	411
45	342	402
46	348	393
47	357	387
48	364	379
49	370	370
50	376	361
51	382	352
52	388	344
53	394	335
54	399	327
55	405	318
56	411	310
57	417	302
58	423	294
59	429	286
60	434	277
61	440	270
62	446	262
63	452	254
64	458	246
65	467	240
66	473	233
67	479	225
68	485	218
69	492	211
70	500	204
71	506	196
72	512	189
73	518	182
74	525	175
75	531	167
76	537	160
77	543	153
78	549	146
79	555	138
80	563	132
81	571	125
82	578	118
83	584	111
84	590	104
85	596	97
86	602	89
87	607	82
88	613	75
89	619	68
90	625	61
91	631	54
92	637	48
93	643	41
94	650	34
95	657	27
96	667	20
97	673	13
98	679	6
99	685	0
